1419121443;7803214567;7808907654;94;0.22
1419122088;7804922860;7801236789;602;0.23
1419123851;7801234567;7809876543;910;0.21
1419123958;7808765432;7801236789;925;0.22
1419123983;7804922860;7804321098;631;0.10
1419125014;7809876543;7808765432;275;0.24
1419126352;7809876543;7804321098;185;0.10
1419127903;7808907654;7808765432;338;0.12
1419129259;7807890123;7808765432;599;0.26
1419130776;7801234567;7804321098;177;0.30
1419132478;7804321098;7801236789;79;0.36
1419132898;7801236789;7804321098;252;0.17
1419133049;7803214567;7807890123;200;0.30
1419134654;7808907654;7807890123;881;0.22
1419136224;7808765432;7804321098;512;0.18
1419137462;7803214567;7808765432;761;0.17
1419138857;7801236789;7804321098;597;0.28
1419139989;7804321098;7804922860;64;0.40
1419140723;7808907654;7801236789;890;0.22
1419142590;7809876543;7804321098;232;0.23
1419143715;7804922860;7808907654;373;0.13
1419144940;7804922860;7808765432;920;0.22
1419146934;7803214567;7809876543;772;0.30
1419148045;7801236789;7803214567;705;0.13
1419148358;7803214567;7801236789;771;0.26
1419148737;7808765432;7801236789;713;0.26
1419149247;7803214567;7809876543;736;0.18
1419150660;7803214567;7808765432;188;0.34
1419152182;7808765432;7801234567;311;0.20
1419153322;7807890123;7801234567;164;0.21
1419154146;7801234567;7801236789;245;0.40
1419155463;7809876543;7801234567;827;0.21
1419156762;7809876543;7807890123;251;0.26
1419156847;7809876543;7801236789;168;0.24
1419158230;7801234567;7808765432;788;0.19
1419158402;7804922860;7803214567;744;0.40
1419159703;7801236789;7808765432;765;0.34
1419160428;7804922860;7808907654;347;0.28
1419162284;7803214567;7807890123;358;0.12
1419162828;7801236789;7803214567;548;0.16
1419163383;7809876543;7808765432;919;0.27
1419164845;7804922860;7801236789;255;0.18
1419165334;7808907654;7803214567;664;0.33
1419165630;7807890123;7803214567;506;0.37
1419167353;7804922860;7809876543;949;0.12
1419169323;7801234567;7801236789;81;0.14
1419170973;7809876543;7803214567;527;0.30
1419172147;7808765432;7804922860;836;0.18
1419173417;7801236789;7808907654;224;0.10
1419173427;7809876543;7803214567;761;0.38
1419175332;7809876543;7803214567;567;0.29
1419177158;7808907654;7801236789;909;0.14
