2, 7801234567, Robert Post, Hinton, 198473
7, 7801236789, Nazanin Tahmasebi,  Saint Albert, 64399
4, 7803214567, Md Toukir Imam, Sherwood Park, 179532
8, 7804321098, Sayem Mohammad Siam, Stony Plain, 57909
1, 7804922860, Osmar Zaiane, Edmonton, 250068
5, 7807890123, Elham Ahmadi, Devon, 129370
9, 7808765432, Amir Hossein Faghih Dinevari, Beaumont, 62552
6, 7808907654, Rong Feng, Spruce Grove, 121726
3, 7809876543, Farrukh Ahmed, Edson, 190211

2, 7, 74
2, 4, 30
2, 8, 64
2, 1, 16
2, 5, 33
2, 9, 96
2, 6, 26
2, 3, 45
7, 2, 6
7, 4, 12
7, 8, 40
7, 1, 7
7, 5, 4
7, 9, 38
7, 6, 16
7, 3, 9
4, 2, 17
4, 7, 56
4, 8, 53
4, 1, 10
4, 5, 73
4, 9, 94
4, 6, 43
4, 3, 17
8, 2, 6
8, 7, 15
8, 4, 11
8, 1, 20
8, 5, 13
8, 9, 26
8, 6, 18
8, 3, 3
1, 2, 48
1, 7, 85
1, 4, 54
1, 8, 71
1, 5, 54
1, 9, 131
1, 6, 32
1, 3, 27
5, 2, 18
5, 7, 39
5, 4, 28
5, 8, 32
5, 1, 11
5, 9, 65
5, 6, 52
5, 3, 14
9, 2, 33
9, 7, 17
9, 4, 14
9, 8, 20
9, 1, 8
9, 5, 13
9, 6, 13
9, 3, 11
6, 2, 15
6, 7, 71
6, 4, 14
6, 8, 28
6, 1, 10
6, 5, 30
6, 9, 71
6, 3, 6
3, 2, 15
3, 7, 58
3, 4, 52
3, 8, 57
3, 1, 19
3, 5, 37
3, 9, 86
3, 6, 50
